TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
12802,DPW Maintained,Crateagus spp :: Hawthorn,2050 Lake St,2,Sidewalk: Curb side : Cutout,Private,5/22/01 0:00,3,4,37.78598403,-122.4817542
85739,Private,Platanus x hispanica :: Sycamore: London Plane,601X Howard St,1,Sidewalk: Curb side : Cutout,Private,4/30/07 0:00,3,5x5,37.78672294,-122.3982297
61859,Permitted Site,Ligustrum lucidum :: Glossy Privet,1160 Hampshire St,1,Sidewalk: Curb side : Cutout,Private,3/23/85 0:00,8,,37.75353211,-122.4074429
253522,DPW Maintained,Lophostemon confertus :: Brisbane Box,134 09th St,1,Sidewalk: Curb side : Cutout,Private,10/26/17 0:00,3,3x3,37.77571814,-122.4143273
17542,DPW Maintained,Ulmus parvifolia :: Chinese Elm,525 Persia Ave,1,Sidewalk: Curb side : Cutout,DPW,4/29/11 0:00,3,3x3,37.72107559,-122.4315103
63570,Permitted Site,Pistacia chinensis :: Chinese Pistache,3025 21st St,1,Sidewalk: Curb side : Cutout,Private,12/22/14 0:00,3,,37.75719381,-122.415077
38599,DPW Maintained,Crataegus phaenopyrum :: Washington Hawthorn,1334 Revere Ave,1,Sidewalk: Curb side : Cutout,Private,9/17/98 0:00,1,,37.72893987,-122.3851778
28049,Permitted Site,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,1800 The Embarcadero,5,Sidewalk: Curb side : Cutout,Port,2/5/01 0:00,12,3X3,37.80891235,-122.4157369
81905,DPW Maintained,Olea europaea :: Olive Tree,2999 Pacific Ave,1,Sidewalk: Curb side : Cutout,Private,12/20/07 0:00,7,3x3,37.79202292,-122.444452
67678,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,1566 Underwood Ave,1,Sidewalk: Curb side : Cutout,Private,11/5/92 0:00,11,,37.72949748,-122.3911575
32261,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,2106 Divisadero St,1,Sidewalk: Curb side : Cutout,Private,8/22/95 0:00,17,,37.78935382,-122.4405798
265321,DPW Maintained,:: Tree,863 Carolina St,1,Sidewalk: Curb side : Cutout,DPW,2/19/21 0:00,3,3x3,37.75773051,-122.3997787
86266,DPW Maintained,Melaleuca quinquenervia :: Cajeput,1650 25th Ave,1,Sidewalk: Curb side : Cutout,DPW,12/12/06 0:00,3,3x3,37.75670203,-122.4830255
163220,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,45 Farallones St,9,Sidewalk: Curb side : Cutout,Private,8/3/20 0:00,3,Width 0ft,37.7140469,-122.4537551
26317,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2045 San Jose Ave,1,Sidewalk: Curb side : Cutout,DPW,12/17/97 0:00,3,3X3,37.72408769,-122.4436798
38160,Permitted Site,Syagrus romanzoffianum :: Queen Palm,48 Holyoke St,1,Sidewalk: Curb side : Cutout,Private,12/24/14 0:00,3,,37.73045929,-122.4103389
17406,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1788 Palou Ave,1,Sidewalk: Curb side : Cutout,Private,10/28/96 0:00,6,3x3,37.73601922,-122.3943299
6806,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1395 Fairfax Ave,2,Sidewalk: Curb side : Cutout,DPW,3/15/06 0:00,6,3x3,37.74011131,-122.3852037
61658,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',115 10th Ave,1,Sidewalk: Curb side : Cutout,Private,11/21/84 0:00,15,,37.78612837,-122.4690328
92595,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2201 Baker St,2,Sidewalk: Curb side : Cutout,Private,8/25/09 0:00,5,3x3,37.7913837,-122.4445906
25761,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1598 Geneva Ave,1,Sidewalk: Curb side : Cutout,DPW,1/15/97 0:00,7,6x3,37.71215936,-122.4297947
10388,DPW Maintained,Potential Site :: Potential Site,1354 Haight St,1,Sidewalk: Curb side : Cutout,DPW,9/26/07 0:00,3,3X3,37.77038323,-122.4445293
12033,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1250X La Salle Ave,15,Sidewalk: Curb side : Cutout,DPW,3/11/06 0:00,3,3X3,37.73211505,-122.3828043
27086,Permitted Site,Callistemon viminalis :: Weeping Bottlebrush,743X Silver Ave,1,Sidewalk: Curb side : Cutout,Private,6/26/99 0:00,6,2X3,37.72901967,-122.4206156
46632,DPW Maintained,Ulmus parvifolia :: Chinese Elm,1478 Underwood Ave,2,Sidewalk: Curb side : Cutout,Private,4/12/02 0:00,9,3x3,37.72857853,-122.3895279
147588,Planning Code 138.1 required,Ginkgo biloba :: Maidenhair Tree,369 18th Ave,5,Sidewalk: Curb side : Cutout,Private,1/18/19 0:00,3,Width 4ft,37.78115008,-122.4773755
67951,DPW Maintained,Agonis flexuosa :: Peppermint Willow,546 24th Ave,1,Sidewalk: Curb side : Cutout,Private,3/22/93 0:00,1,,37.7792186,-122.4835204
18067,DPW Maintained,Lophostemon confertus :: Brisbane Box,2917 Pine St,1,Sidewalk: Curb side : Cutout,DPW,6/22/16 15:10,3,3X3,37.78658464,-122.4438481
7875,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',1050 Franklin St,1,Sidewalk: Curb side : Cutout,DPW,12/18/14 14:38,3,4X4,37.78433882,-122.4227127
77210,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,499X Hearst Ave,17,Sidewalk: Curb side : Cutout,SFUSD,5/15/99 0:00,5,3x3,37.73029437,-122.4487679
29995,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,734 14th St,1,Sidewalk: Curb side : Cutout,DPW,1/19/07 0:00,3,3x3,37.76775868,-122.4296563
163460,Section 806 (d),Pistacia chinensis :: Chinese Pistache,115 Plymouth Ave,1,Sidewalk: Curb side : Cutout,Private,8/10/20 0:00,3,3x3,37.71205075,-122.4561126
39467,DPW Maintained,Lophostemon confertus :: Brisbane Box,300 Clay St,4,Sidewalk: Curb side : Cutout,Private,12/28/98 0:00,8,,37.79527299,-122.3991628
95909,DPW Maintained,Agonis flexuosa :: Peppermint Willow,1455 29th Ave,1,Sidewalk: Curb side : Cutout,Private,7/27/11 0:00,3,3x3,37.7602144,-122.4877106
29709,DPW Maintained,Cordyline australis :: Dracena Palm,1594X Guerrero St,4,Median : Cutout,DPW,3/30/06 0:00,6,,37.74588167,-122.4222597
265552,DPW Maintained,Platanus x hispanica 'Columbia' :: Columbia Hybrid Plane Tree,2038 Carroll Ave,1,Sidewalk: Curb side : Cutout,DPW,3/30/21 0:00,3,3x3,37.72973914,-122.401498
31460,DPW Maintained,Prunus cerasifera :: Cherry Plum,625 Douglass St,2,Sidewalk: Curb side : Cutout,Private,5/1/95 0:00,3,,37.75336621,-122.4386249
30975,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1950 Jackson St,2,Sidewalk: Curb side : Cutout,Private,3/13/95 0:00,24,6x9,37.79348296,-122.4271384
30618,DPW Maintained,Pyrus kawakamii :: Evergreen Pear,1645 Folsom St,2,Sidewalk: Curb side : Cutout,Private,1/30/95 0:00,5,,37.77033414,-122.415191
50039,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,627 Woolsey St,1,Sidewalk: Curb side : Cutout,Private,7/28/03 0:00,5,,37.72373442,-122.4080783
109290,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,2X Clover St,4,Sidewalk: Curb side : Cutout,Private,2/6/15 0:00,3,3x3,37.76007684,-122.4415276
25398,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,855 Geneva Ave,1,Sidewalk: Curb side : Cutout,Private,6/27/96 0:00,20,3X3,37.7172246,-122.4414091
86258,DPW Maintained,Prunus serrulata :: Ornamental Cherry,1746 25th Ave,1,Sidewalk: Curb side : Cutout,DPW,12/12/06 0:00,3,3x3,37.75495093,-122.4828833
93452,DPW Maintained,Podocarpus macrophyllus :: Yew Pine,2149 Taraval St,1,Sidewalk: Curb side : Cutout,DPW,1/3/15 13:35,3,3x3,37.74235644,-122.4893891
110763,DPW Maintained,Acacia stenophylla :: Shoestring Acacia,300X GUERRERO ST,5,Median : Cutout,DPW,6/19/15 10:41,3,3x3,37.76559111,-122.4242291
29088,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,2240 Bryant St,4,Sidewalk: Curb side : Cutout,Private,2/8/06 0:00,3,3x3,37.75852831,-122.4097522
171230,DPW Maintained,Lophostemon confertus :: Brisbane Box,95 Lisbon St,1,Sidewalk: Curb side : Cutout,Private,11/27/19 0:00,3,Width 3ft,37.72680145,-122.4298952
53514,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,1382 Thomas Ave,1,Sidewalk: Curb side : Cutout,Private,11/25/69 0:00,3,,37.72816472,-122.3871413
85723,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1055 Howard St,1,Sidewalk: Curb side : Cutout,DPW,4/30/07 0:00,3,3x3,37.77858668,-122.4084422
12137,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1400X La Salle Ave,17,Sidewalk: Curb side : Cutout,DPW,1/28/16 9:03,3,3X3,37.73439076,-122.3857072
